TradeRepublic_Name,L&S_Name,Region,WKN,ISIN,L&S_URL_ID
EURO STOXX Banks 30-15,ISH. EURO STOXX BANKS(DE),Europa,628930,DE0006289309,44564
Dow Jones Eurozone Sustainability Screened,ISH.EURO ST. SUST. 40(DE),Europa,A0F5UG,DE000A0F5UG3,49493
STOXX Europe 600 Banks,ISHRS STX600 BANKS,Europa,A0F5UJ,DE000A0F5UJ7,54587
STOXX Europe 600 Construction & Materials,ISHRS STX600 CONSTRUCTION & MATERIALS,Europa,A0H08F,DE000A0H08F7,42572
STOXX Europe 600 Media,ISHRS STX600 MEDIA,Europa,A0H08L,DE000A0H08L5,59903
EURO STOXX Small,IS EO STOXX SM.U.ETF EOD,Europa,A0DK61,IE00B02KXM00,251469
European Property Yield,I-SHAR EUROP. PROPERTY YIELD,Europa,A0HGV5,IE00B0M63284,251472
MSCI Europe ex-UK,IS MSCI EU.XUK U.ETF EOD,Europa,A0J204,IE00B14X4N27,251511
EUR Govt Bond 15-30yr,ISHARES EURO GOVERNMENT BOND 15-,Europa,A0LGP5,IE00B1FZS913,257220
EUR Govt Bond 1-3yr EUR (Acc),CS ETF(IE)IB.EUR GOV.1-3,Europa,A0X8SK,IE00B3VTMJ91,49703
EUR Govt Bond 7-10yr EUR (Acc),CS ETF(IE)IB.EUR GOV.7-10,Europa,A0X8SM,IE00B3VTN290,47504
MSCI Europe EUR (Acc),ISHARES MSCI EUROPE (ACC),Europa,A0RPWG,IE00B4K48X80,50297
EUR Corp Bond ex-Financials 1-5yr,ISHARES EURO CORP. EX-FIN 1-5Y,Europa,A0RPWP,IE00B4L5ZY03,262324
EUR Govt Bond 5-7yr,ISHARES EURO GOV. BOND 5-7Y,Europa,A0RL81,IE00B4WXJG34,262336
MSCI Europe SRI,iShares MSCI Europe SRI UCITS ETF,Europa,A1H7ZS,IE00B52VJ196,259634
Core EURO STOXX 50,CS ETF(IE)ON D.J.EO ST.50,Europa,A0YEDJ,IE00B53L3W79,53954
MSCI EMU,CS ETF(IE)ON MSCI EMU,Europa,A0YEDX,IE00B53QG562,53093
MSCI EMU Mid Cap,ISIV-MSCI EMUMC.U.ETF EOA,Europa,A1W370,IE00BCLWRD08,530443
MSCI EMU Large Cap,ISHARES MSCI EMU LARGE,Europa,A1W37Z,IE00BCLWRF22,49415
Edge MSCI Europe Quality Factor,ISHARES MSCI EUROPE QUALITY,Europa,A12DPM,IE00BQN1K562,154140
Edge MSCI Europe Value Factor,ISHARES MSCI EUROPE VALUE,Europa,A12DPP,IE00BQN1K901,154143
Edge MSCI Europe Size Factor,ISHARES MSCI EUROPE SIZE,Europa,A12DPQ,IE00BQN1KC32,154137
EUR Corp Bond BBB-BB,ISHARES EURO CORP. BOND BBB-BB,Europa,A12HSP,IE00BSKRK281,262321
Edge MSCI Europe Multifactor,ISHARES FACTORSELECT MSCI EU,Europa,A14YPB,IE00BZ0PKV06,155472
EURO STOXX Select Dividend 30,DJ SX5E DIV 30EX,Europa,263528,DE0002635281,43391
EURO STOXX 50,DJ EU STOXX50EX,Europa,593395,DE0005933956,58361
STOXX Europe 600 Chemicals,ISHRS STX600 CHEMICALS,Europa,A0H08E,DE000A0H08E0,59534
STOXX Europe 600 Telecommunications,ISHRS STX600 TELECOMMUNICATIONS,Europa,A0H08R,DE000A0H08R2,54128
STOXX Europe 600 Automobiles & Parts,ISHRS STX600 AUTOMOBILES & PARTS,Europa,A0Q4R2,DE000A0Q4R28,43031
Euro Total Market Growth Large,IS EO.TO.MA.G.L.U.ETF EOD,Europa,A0HGV3,IE00B0M62V02,251457
MSCI Eastern Europe Capped,ISHS-MSCI EAST.EUR.C.DL D,Europa,A0HGWB,IE00B0M63953,251505
EUR Govt Bond 3-5yr,ISHARES EURO GOVERNMENT BOND 3-5,Europa,A0LGP6,IE00B1FZS681,257214
MSCI Europe EUR (Dist),ISHARES MSCI EUROPE,Europa,A0MZWQ,IE00B1YZSC51,49781
Core EUR Corp Bond,ISHARES CORE EURO CORP.,Europa,A0RGEP,IE00B3F81R35,44489
EUR Govt Bond 0-1yr,ISHSIII-EO G.BD 0-1YR EOD,Europa,A0RGEL,IE00B3FH7618,262330
EUR Govt Bond 3-7yr,CS ETF(IE)IB.EUR GOV.3-7,Europa,A0X8SL,IE00B3VTML14,52010
MSCI EMU Small Cap,CS ETF(IE)MSCI EMU SM.CAP,Europa,A0X8SE,IE00B3VWMM18,44939
EUR Corp Bond 1-5yr,ISHARES EURO CORPORATE BOND 1-5YR,Europa,A0RPWQ,IE00B4L60045,262318
EUR Govt Bond 10-15yr,ISHARES EURO GOV. BOND 10-15Y,Europa,A0RL82,IE00B4WXJH41,262333
EUR Corp Bond Interest Rate Hedged,ISHARES EURO CORPORATE BOND INTEREST RATE HEDGED,Europa,A1J5ST,IE00B6X2VY59,880201
